"NUM_OC","FECHA_CIERRE_TAREA","TIPO_SLA","ANS2","mes"
"2944028",2021-02-15 20:15:04,"SLA8","Cumple",2021-02-01
"2944592",2021-02-16 10:50:43,"SLA8","Cumple",2021-02-01
"2944636",2021-02-16 13:27:49,"SLA8","Cumple",2021-02-01
"2944789",2021-02-16 17:32:00,"SLA8","Cumple",2021-02-01
"2944792",2021-02-16 17:19:16,"SLA8","Cumple",2021-02-01
"2945591",2021-02-16 16:29:20,"SLA8","Cumple",2021-02-01
"2945638",2021-02-16 17:00:48,"SLA8","Cumple",2021-02-01
"2945696",2021-02-16 17:09:34,"SLA8","Cumple",2021-02-01
"2945741",2021-02-16 17:38:23,"SLA8","Cumple",2021-02-01
"2945763",2021-02-16 18:32:54,"SLA8","Cumple",2021-02-01
"2945824",2021-02-16 18:33:01,"SLA8","Cumple",2021-02-01
"2945943",2021-02-17 11:12:20,"SLA8","Cumple",2021-02-01
"2946280",2021-02-17 09:58:09,"SLA8","Cumple",2021-02-01
"2946463",2021-02-17 11:37:28,"SLA8","Cumple",2021-02-01
"2946580",2021-02-17 12:13:36,"SLA8","Cumple",2021-02-01
"2946603",2021-02-17 14:51:03,"SLA8","Cumple",2021-02-01
"2946634",2021-02-17 16:57:23,"SLA8","Cumple",2021-02-01
"2946681",2021-02-17 12:49:32,"SLA8","Cumple",2021-02-01
"2946823",2021-02-17 16:20:33,"SLA8","Cumple",2021-02-01
"2946992",2021-02-17 16:27:17,"SLA8","Cumple",2021-02-01
"2947041",2021-02-17 16:38:44,"SLA8","Cumple",2021-02-01
"2947179",2021-02-17 17:08:51,"SLA8","Cumple",2021-02-01
"2947191",2021-02-17 18:38:54,"SLA8","Cumple",2021-02-01
"2947205",2021-02-17 18:08:30,"SLA8","Cumple",2021-02-01
"2947208",2021-02-17 18:10:02,"SLA8","Cumple",2021-02-01
"2947211",2021-02-17 18:10:54,"SLA8","Cumple",2021-02-01
"2947216",2021-02-17 19:04:53,"SLA8","Cumple",2021-02-01
"2947755",2021-02-18 09:36:54,"SLA8","Cumple",2021-02-01
"2947859",2021-02-18 11:05:25,"SLA8","Cumple",2021-02-01
"2947948",2021-02-19 17:49:53,"SLA8","Cumple",2021-02-01
"2947956",2021-02-19 17:54:42,"SLA8","Cumple",2021-02-01
"2947970",2021-02-19 17:53:40,"SLA8","Cumple",2021-02-01
"2948028",2021-02-18 13:41:30,"SLA8","Cumple",2021-02-01
"2948189",2021-02-18 13:09:23,"SLA8","Cumple",2021-02-01
"2948829",2021-02-19 09:09:55,"SLA8","Cumple",2021-02-01
"2948881",2021-02-18 17:01:29,"SLA8","Cumple",2021-02-01
"2948941",2021-02-19 09:05:06,"SLA8","Cumple",2021-02-01
"2948945",2021-02-18 17:52:27,"SLA8","Cumple",2021-02-01
"2949001",2021-02-18 17:59:36,"SLA8","Cumple",2021-02-01
"2949078",2021-02-18 18:38:55,"SLA8","Cumple",2021-02-01
"2949109",2021-02-18 19:38:44,"SLA8","Cumple",2021-02-01
